,id_estacao,data_fundacao,latitude,longitude,municipio
107,A935,2008-05-30,-15.32472221,-57.22583332,5106851
108,A936,2008-01-24,-15.12472221,-58.12722221,5107750
109,A937,2008-01-30,-15.23444444,-59.3461111,5106752
110,A942,2019-02-19,-10.48416666,-52.37249999,5107354
111,A943,2019-03-29,-11.98777777,-51.4261111,5107883
112,A944,2019-05-30,-14.82888888,-56.44194444,5107701
113,A303,2003-02-25,-9.55111111,-35.77027777,2704302
114,A323,2007-07-14,-9.74916666,-37.43083332,2706406
115,A327,2007-07-11,-9.42027777,-36.62027777,2706307
116,A353,2008-04-27,-9.80444444,-36.61916666,2700300
117,A355,2008-09-06,-10.1286111,-36.28638888,2702306
118,A356,2008-09-08,-9.28749999,-35.56583333,2708501
119,A371,2017-09-20,-9.62222221,-37.76722221,2707107
120,A401,2000-05-13,-13.005515,-38.50576,2927408
121,A402,2001-12-20,-12.12472221,-45.02694443,2903201
122,A404,2002-04-18,-12.1525,-45.82972221,2919553
123,A405,2002-12-20,-17.73944444,-39.25861111,2906907
124,A406,2003-01-19,-12.67555554,-39.08944444,2909802
125,A407,2003-02-09,-13.527828,-40.119752,2917607
126,A408,2003-01-29,-12.52416666,-40.29972221,2914703
127,A410,2003-01-25,-14.658803,-39.181438,2913606
128,A412,2003-02-03,-12.13166666,-40.35416666,2919603
129,A413,2007-05-26,-12.1961111,-38.96749999,2910800
130,A414,2007-06-01,-14.88638888,-40.80138888,2933307
131,A415,2007-05-28,-11.00277777,-44.52499999,2928406
132,A416,2007-11-09,-13.33249999,-44.61749999,2909307
133,A418,2007-05-18,-13.25111111,-43.40527777,2903904
134,A422,2008-07-21,-17.96305555,-38.70333333,2906907
135,A423,2008-03-26,-9.62555554,-42.07722221,2926004
136,A424,2008-03-31,-11.328998,-41.864504,2914604
137,A425,2008-04-05,-12.557854,-41.388808,2919306
138,A426,2008-04-24,-14.20805555,-42.74972221,2911709
139,A427,2008-07-10,-16.38888888,-39.18249999,2925303
140,A428,2008-03-27,-10.44305555,-40.14833333,2930105
141,A429,2008-05-12,-11.08472221,-43.13888888,2902708
142,A430,2008-05-03,-13.155681,-41.774125,2924306
143,A431,2008-04-07,-12.03583333,-37.68388888,2908606
144,A432,2008-05-15,-10.72305554,-43.65111111,2904753
145,A433,2008-04-28,-14.18194443,-41.67222221,2904605
146,A434,2008-07-11,-13.009468,-39.616881,2901007
147,A435,2008-05-20,-9.8336111,-39.49555555,2932002
148,A436,2008-05-23,-10.98472221,-39.61694443,2925808
149,A437,2008-06-25,-15.28027777,-39.09138888,2932507
150,A438,2008-06-22,-13.90694444,-38.97222221,2920700
151,A439,2008-04-28,-12.19305555,-43.21333333,2913200
152,A440,2008-05-01,-11.205,-40.465,2917508
153,A441,2008-05-09,-11.66472222,-39.02305554,2930501
154,A442,2008-03-31,-10.537233,-38.996605,2910701
155,A443,2008-07-15,-10.455,-41.20694444,2932457
156,A444,2009-06-29,-13.3436111,-39.12666666,2932903
157,A445,2009-06-30,-14.17138888,-39.69249999,2913903
158,A446,2009-06-25,-15.24472221,-40.22944443,2916401
159,A447,2009-07-02,-16.08805555,-39.21527777,2927705
160,A448,2015-08-20,-9.00138888,-39.9125,2909901
161,A449,2016-05-28,-10.01833332,-42.50027777,2924405
162,A450,2015-08-13,-10.08083332,-38.34583333,2918100
163,A452,2016-06-02,-11.05222222,-45.20083333,2911105
164,A455,2016-05-28,-17.00694444,-39.55805555,2915601
165,A456,2018-03-10,-12.80833333,-38.49583333,2927408
166,A458,2018-09-20,-11.05861111,-38.44416666,2926509
167,A305,2003-02-18,-3.815701,-38.537792,2304400
168,A306,2003-02-12,-3.74805555,-40.34583333,2312908
169,A314,2007-05-26,-4.26138888,-38.9311111,2305100
170,A315,2007-05-31,-7.30083333,-39.2711111,2301901
171,A319,2007-05-30,-6.39638888,-39.26888888,2305506
172,A324,2007-07-12,-6.01749999,-40.28138888,2313302
173,A325,2007-07-09,-5.17444443,-39.28944444,2311405
174,A332,2007-08-24,-5.13666666,-38.35666666,2308708
175,A339,2007-11-10,-4.78694444,-37.76666666,2307007
176,A342,2008-12-11,-5.18666666,-40.67222221,2304103
177,A347,2008-03-07,-7.07777777,-40.36277777,2302701
178,A358,2008-09-10,-5.90555555,-38.62777777,2306900
179,A359,2008-09-05,-3.48416666,-39.5886111,2306405
180,A360,2009-04-22,-3.1211111,-40.08722221,2307809
