,id_municipio,latitude,longitude,uf,regiao
106,5209903,-14.1011,-46.6335,GO,Centro-Oeste
107,5209937,-18.4869,-49.9888,GO,Centro-Oeste
108,5209952,-17.1387,-49.9862,GO,Centro-Oeste
109,5210000,-16.3611,-49.5001,GO,Centro-Oeste
110,5210109,-17.7215,-48.1581,GO,Centro-Oeste
111,5210158,-15.1689,-49.6695,GO,Centro-Oeste
112,5210208,-16.4398,-51.118,GO,Centro-Oeste
113,5210307,-16.3144,-50.9087,GO,Centro-Oeste
114,5210406,-16.0206,-49.806,GO,Centro-Oeste
115,5210562,-15.918,-49.6071,GO,Centro-Oeste
116,5210604,-15.7565,-49.6354,GO,Centro-Oeste
117,5210802,-19.0673,-51.5495,GO,Centro-Oeste
118,5210901,-14.9522,-49.5511,GO,Centro-Oeste
119,5211008,-15.8205,-50.6094,GO,Centro-Oeste
120,5211206,-15.5606,-49.949,GO,Centro-Oeste
121,5211305,-18.7646,-51.3485,GO,Centro-Oeste
122,5211404,-16.2029,-49.6109,GO,Centro-Oeste
123,5211503,-18.4093,-49.2158,GO,Centro-Oeste
124,5211602,-16.5995,-50.7921,GO,Centro-Oeste
125,5211701,-17.0481,-50.1453,GO,Centro-Oeste
126,5211800,-15.7529,-49.3344,GO,Centro-Oeste
127,5211909,-17.8784,-51.7204,GO,Centro-Oeste
128,5212006,-16.1773,-50.9508,GO,Centro-Oeste
129,5212055,-15.9484,-49.3739,GO,Centro-Oeste
130,5212105,-17.802,-49.6197,GO,Centro-Oeste
131,5212204,-15.8659,-50.8668,GO,Centro-Oeste
132,5212253,-19.1832,-51.3998,GO,Centro-Oeste
133,5212303,-16.619,-48.7428,GO,Centro-Oeste
134,5212501,-16.253,-47.95,GO,Centro-Oeste
135,5212600,-17.2975,-49.4898,GO,Centro-Oeste
136,5212709,-14.4823,-46.1165,GO,Centro-Oeste
137,5212808,-14.0148,-49.1777,GO,Centro-Oeste
138,5212907,-17.983,-48.6415,GO,Centro-Oeste
139,5212956,-15.4342,-50.7456,GO,Centro-Oeste
140,5213004,-17.9719,-50.3388,GO,Centro-Oeste
141,5213053,-15.0515,-48.1611,GO,Centro-Oeste
142,5213087,-13.5304,-48.2206,GO,Centro-Oeste
143,5213103,-17.5654,-52.5537,GO,Centro-Oeste
144,5213400,-16.5434,-50.739,GO,Centro-Oeste
145,5213509,-13.2552,-46.8928,GO,Centro-Oeste
146,5213707,-16.0059,-51.3979,GO,Centro-Oeste
147,5213756,-17.4439,-51.1728,GO,Centro-Oeste
148,5213772,-13.3485,-48.6853,GO,Centro-Oeste
149,5213806,-17.7334,-49.1059,GO,Centro-Oeste
150,5213855,-15.3184,-50.0553,GO,Centro-Oeste
151,5213905,-16.124,-50.2136,GO,Centro-Oeste
152,5214002,-14.7457,-50.5713,GO,Centro-Oeste
153,5214051,-13.7729,-50.2814,GO,Centro-Oeste
154,5214101,-13.7303,-49.2745,GO,Centro-Oeste
155,5214408,-16.5808,-49.8817,GO,Centro-Oeste
156,5214507,-16.4047,-49.2227,GO,Centro-Oeste
157,5214606,-14.4662,-48.4599,GO,Centro-Oeste
158,5214705,-15.0206,-49.8953,GO,Centro-Oeste
159,5214804,-18.0597,-48.2552,GO,Centro-Oeste
160,5214838,-14.0957,-50.33,GO,Centro-Oeste
161,5214861,-15.145,-49.5737,GO,Centro-Oeste
162,5214879,-14.2868,-49.3872,GO,Centro-Oeste
163,5214903,-13.7388,-46.8734,GO,Centro-Oeste
164,5215009,-16.3695,-49.3168,GO,Centro-Oeste
165,5215207,-16.0313,-50.7113,GO,Centro-Oeste
166,5215231,-16.0592,-48.0417,GO,Centro-Oeste
167,5215256,-13.2424,-49.506,GO,Centro-Oeste
168,5215306,-17.0334,-48.2964,GO,Centro-Oeste
169,5215405,-16.2181,-49.1942,GO,Centro-Oeste
170,5215504,-18.2277,-47.8355,GO,Centro-Oeste
171,5215603,-15.1605,-48.2833,GO,Centro-Oeste
172,5215652,-16.7392,-51.5309,GO,Centro-Oeste
173,5215702,-16.8044,-49.924,GO,Centro-Oeste
174,5215801,-17.3258,-48.426,GO,Centro-Oeste
175,5215900,-16.7924,-50.1652,GO,Centro-Oeste
176,5216007,-18.1783,-49.355,GO,Centro-Oeste
177,5216304,-18.9141,-50.6539,GO,Centro-Oeste
178,5216403,-16.9463,-50.4484,GO,Centro-Oeste
179,5216452,-17.5258,-52.065,GO,Centro-Oeste
180,5216809,-16.0968,-49.3364,GO,Centro-Oeste
181,5216908,-14.7608,-49.5784,GO,Centro-Oeste
182,5217104,-17.302,-49.017,GO,Centro-Oeste
183,5217203,-16.4258,-51.8235,GO,Centro-Oeste
184,5217302,-15.8507,-48.9584,GO,Centro-Oeste
185,5217401,-17.3019,-48.2768,GO,Centro-Oeste
186,5217609,-15.452,-47.6089,GO,Centro-Oeste
187,5217708,-17.5225,-49.4489,GO,Centro-Oeste
188,5218003,-13.4391,-49.1503,GO,Centro-Oeste
189,5218052,-17.8143,-50.1653,GO,Centro-Oeste
190,5218102,-17.3554,-52.6799,GO,Centro-Oeste
191,5218300,-14.0859,-46.3704,GO,Centro-Oeste
192,5218391,-17.2497,-49.244,GO,Centro-Oeste
193,5218508,-18.4472,-50.4547,GO,Centro-Oeste
194,5218607,-15.3145,-49.5814,GO,Centro-Oeste
195,5218706,-15.4456,-49.5114,GO,Centro-Oeste
196,5218789,-17.774,-48.7725,GO,Centro-Oeste
197,5218805,-17.7923,-50.9192,GO,Centro-Oeste
198,5218904,-15.1617,-49.8048,GO,Centro-Oeste
199,5219001,-16.197,-50.3124,GO,Centro-Oeste
200,5219100,-16.5714,-49.6954,GO,Centro-Oeste
201,5219209,-17.3155,-48.4809,GO,Centro-Oeste
202,5219258,-15.7664,-51.1037,GO,Centro-Oeste
203,5219308,-17.8115,-50.5977,GO,Centro-Oeste
204,5219357,-15.2958,-49.4259,GO,Centro-Oeste
205,5219407,-17.3269,-53.2012,GO,Centro-Oeste
206,5219456,-15.1351,-49.1203,GO,Centro-Oeste
207,5219506,-16.084,-49.4953,GO,Centro-Oeste
208,5219605,-13.7138,-49.0144,GO,Centro-Oeste
209,5219704,-14.4326,-49.7091,GO,Centro-Oeste
210,5219712,-17.5585,-50.6345,GO,Centro-Oeste
211,5219738,-16.4815,-49.3096,GO,Centro-Oeste
212,5219753,-15.9412,-48.2578,GO,Centro-Oeste
213,5219803,-13.621,-46.7415,GO,Centro-Oeste
214,5219902,-15.9256,-49.2605,GO,Centro-Oeste
215,5220009,-14.7048,-47.5228,GO,Centro-Oeste
216,5220058,-16.8126,-50.4092,GO,Centro-Oeste
217,5220108,-16.5211,-50.3726,GO,Centro-Oeste
218,5220157,-14.8608,-49.3285,GO,Centro-Oeste
219,5220207,-13.2731,-50.1634,GO,Centro-Oeste
220,5220264,-17.0582,-48.662,GO,Centro-Oeste
221,5220280,-15.35,-49.818,GO,Centro-Oeste
222,5220405,-18.996,-50.547,GO,Centro-Oeste
223,5220454,-16.7084,-49.0914,GO,Centro-Oeste
224,5220504,-18.3067,-51.9586,GO,Centro-Oeste
225,5220603,-16.66,-48.6083,GO,Centro-Oeste
226,5220686,-14.4644,-46.4847,GO,Centro-Oeste
227,5220702,-14.7992,-46.2506,GO,Centro-Oeste
228,5221007,-16.0521,-49.6039,GO,Centro-Oeste
229,5221080,-13.7801,-47.2659,GO,Centro-Oeste
230,5221197,-16.3945,-49.0797,GO,Centro-Oeste
231,5221304,-18.3539,-47.776,GO,Centro-Oeste
232,5221403,-16.6517,-49.4927,GO,Centro-Oeste
233,5221452,-13.5079,-48.7417,GO,Centro-Oeste
234,5221502,-16.6125,-50.1369,GO,Centro-Oeste
235,5221551,-17.8502,-50.3024,GO,Centro-Oeste
236,5221577,-14.2835,-49.9201,GO,Centro-Oeste
237,5221601,-14.5238,-49.1396,GO,Centro-Oeste
238,5221700,-15.4993,-49.6861,GO,Centro-Oeste
239,5221809,-17.4651,-48.2015,GO,Centro-Oeste
240,5221858,-16.0651,-47.9757,GO,Centro-Oeste
241,5221908,-17.0471,-49.6312,GO,Centro-Oeste
242,5222005,-16.7405,-48.5159,GO,Centro-Oeste
243,5222054,-17.7322,-49.8047,GO,Centro-Oeste
244,5222203,-15.0387,-47.052,GO,Centro-Oeste
245,5222302,-15.4542,-48.8819,GO,Centro-Oeste
246,3100104,-18.4831,-47.3916,MG,Sudeste
247,3100203,-19.1551,-45.4444,MG,Sudeste
248,3100302,-20.2996,-42.4743,MG,Sudeste
249,3100401,-20.359,-43.1439,MG,Sudeste
250,3100500,-19.0671,-42.5419,MG,Sudeste
251,3100609,-17.9914,-42.3806,MG,Sudeste
252,3100708,-20.0576,-48.1069,MG,Sudeste
253,3100807,-20.9439,-45.3915,MG,Sudeste
254,3100906,-17.0802,-40.9384,MG,Sudeste
255,3101003,-15.7431,-41.4571,MG,Sudeste
256,3101102,-19.5007,-41.0746,MG,Sudeste
257,3101201,-21.9736,-44.6042,MG,Sudeste
258,3101300,-22.171,-44.6413,MG,Sudeste
259,3101409,-22.2018,-46.6139,MG,Sudeste
260,3101508,-21.8797,-42.7176,MG,Sudeste
261,3101607,-21.4256,-45.9477,MG,Sudeste
262,3101631,-21.1535,-43.7718,MG,Sudeste
263,3101706,-16.1785,-40.6942,MG,Sudeste
264,3101805,-18.974,-41.97,MG,Sudeste
265,3101904,-20.8631,-46.3878,MG,Sudeste
266,3102001,-21.2488,-46.1387,MG,Sudeste
267,3102050,-20.431,-41.8738,MG,Sudeste
268,3153509,-20.4208,-41.967,MG,Sudeste
269,3102100,-21.0281,-43.4067,MG,Sudeste
270,3102209,-19.4174,-41.7317,MG,Sudeste
271,3102308,-20.1098,-43.0535,MG,Sudeste
272,3102407,-18.7334,-43.3638,MG,Sudeste
273,3102506,-20.5051,-42.8009,MG,Sudeste
274,3102605,-22.0695,-46.5724,MG,Sudeste
275,3102803,-21.7411,-44.3117,MG,Sudeste
276,3102852,-17.7279,-42.2641,MG,Sudeste
277,3102902,-21.321,-43.7451,MG,Sudeste
278,3103009,-19.6491,-42.8732,MG,Sudeste
279,3103108,-21.0192,-42.1109,MG,Sudeste
280,3103207,-19.1955,-44.2493,MG,Sudeste
281,3103306,-21.3446,-43.3736,MG,Sudeste
282,3103405,-16.8523,-42.0637,MG,Sudeste
283,3103504,-18.6456,-48.1934,MG,Sudeste
284,3103603,-21.9102,-44.2555,MG,Sudeste
285,3103702,-20.6686,-42.5178,MG,Sudeste
286,3103751,-18.4357,-49.1847,MG,Sudeste
287,3103801,-19.0268,-46.1484,MG,Sudeste
288,3103900,-19.9405,-45.1671,MG,Sudeste
289,3104007,-19.5902,-46.9438,MG,Sudeste
290,3104106,-21.359,-46.9401,MG,Sudeste
291,3104205,-20.2863,-45.5373,MG,Sudeste
292,3104304,-21.3572,-46.1421,MG,Sudeste
293,3104403,-21.6083,-42.8292,MG,Sudeste
294,3104452,-17.8666,-42.5533,MG,Sudeste
295,3104502,-15.9187,-46.1043,MG,Sudeste
296,3104601,-21.3184,-42.8572,MG,Sudeste
297,3104700,-18.0438,-41.1149,MG,Sudeste
298,3104809,-18.0997,-44.2655,MG,Sudeste
299,3104908,-21.957,-44.8874,MG,Sudeste
300,3105004,-19.2832,-43.9613,MG,Sudeste
301,3105103,-20.0166,-45.9754,MG,Sudeste
302,3105202,-15.8783,-40.5622,MG,Sudeste
303,3105301,-21.7308,-46.3833,MG,Sudeste
304,3105400,-19.9389,-43.4755,MG,Sudeste
305,3105509,-21.2444,-42.2372,MG,Sudeste
306,3105608,-21.2214,-43.7703,MG,Sudeste
307,3105707,-20.2869,-43.0402,MG,Sudeste
308,3105905,-21.1907,-43.972,MG,Sudeste
309,3106002,-19.8302,-43.0922,MG,Sudeste
310,3106101,-21.944,-43.4084,MG,Sudeste
311,3106200,-19.9102,-43.9266,MG,Sudeste
312,3106309,-19.2199,-42.4828,MG,Sudeste
313,3106408,-20.4077,-44.0275,MG,Sudeste
314,3106507,-16.9567,-42.4606,MG,Sudeste
315,3106655,-15.61,-41.7432,MG,Sudeste
316,3106606,-17.059,-40.58,MG,Sudeste
317,3106705,-19.9668,-44.2008,MG,Sudeste
318,3106804,-21.602,-43.7574,MG,Sudeste
319,3106903,-21.7232,-43.056,MG,Sudeste
320,3107000,-18.7754,-45.4974,MG,Sudeste
321,3107109,-21.0927,-45.5612,MG,Sudeste
322,3107208,-22.1697,-44.3972,MG,Sudeste
323,3107307,-17.1135,-43.8104,MG,Sudeste
324,3107406,-19.7386,-45.2622,MG,Sudeste
325,3107505,-21.9479,-44.1885,MG,Sudeste
326,3107604,-21.0148,-46.5174,MG,Sudeste
