id_municipio,ano,turno,tratamento,abstencao,passe_livre,populacao,competitividade,pib_pc,ideb,beneficiados,pib_governo,eleitores_secao
3144805,2002,1,1,0.11152807953123972,0,66909,0.5072391982897643,13496.584659761766,NA,1.4683652643360328,0.08940738095519868,353.2325581395349
3144805,2006,1,1,0.11848767423220534,0,73247,1.8119979989915,21580.19854738078,3.6,1.4319199264950246,0.08686304109422123,355.2291666666667
3144805,2010,1,1,0.1255530482062581,0,80998,3.5179772909796063,664.5304575421616,3.7,1.439222445317081,4.591595867382009,337
3144805,2014,1,1,0.14731587534934815,0,88672,2.701483881167322,103257.52545335618,4.7,1.4324808969160434,0.06413146551422166,340.11538461538464
3144805,2018,1,1,0.18092705713259072,0,93577,1.058392440386641,111645.52982036184,3.6,1.3449802371541502,0.05790439113907791,344.4306930693069
3144805,2022,1,1,0.1920442191572688,1,97378,6.752736597421247,125400.82674731458,4.8,1.2754659646089566,0.05717686240910829,358.4366197183099
3148004,2002,1,0,0.15023484780056,0,128286,2.932899807934469,5703.332070529909,NA,1.4484463914732184,0.17644402623063915,310.76491228070176
3148004,2006,1,0,0.1720625262274444,0,139354,1.6569911407204576,8900.879027512665,3.9,1.4619597146454049,0.1607283233108758,314.5874587458746
3148004,2010,1,0,0.17775847432531144,0,138710,36.83990388647334,14396.619984139572,4.7,1.36921801275344,0.15397681503672503,309.80428134556576
3148004,2014,1,0,0.1970360358645371,0,147614,13.808059926098236,23784.83981871638,5.4,1.4050179893777008,0.1431327234227559,310.8343195266272
3148004,2018,1,0,0.23557401471716852,0,150833,0.7262719621689039,31141.63968097167,5,1.3618617669631168,0.14372347213573897,311.10955056179773
3148004,2022,1,0,0.2289535798583792,0,154641,2.002253973510197,34921.24401678727,5.6,1.3518751639129294,0.13311494051781356,318.6350974930362
3170107,2002,1,1,0.1489097235133197,0,261457,0.8194680475112301,10947.180828969964,NA,1.388844917797668,0.10281487917818148,343.5310218978102
3170107,2006,1,1,0.16564577876284506,0,285094,4558.833315053183,15034.135632458068,3.7,1.4360971186782188,0.09782086578177712,350.12345679012344
3170107,2010,1,1,0.172644818457245,0,295988,2.045623074372915,24662.21446815411,4.3,1.414437403828693,0.0910348158888498,346.46026490066225
3170107,2014,1,1,0.19062706571539287,0,318813,3.605819490908896,36272.78177175962,5,1.4534111371976932,0.0949265563462778,335.91883614088823
3170107,2018,1,1,0.15497466848557503,0,330361,0.9773981237157752,44594.28079282966,4.8,1.5174151290919695,0.09841134189653988,285.3381389252949
3170107,2022,1,1,0.202814951545916,1,340277,16.169385154889255,50520.1490667897,4.9,1.4539515288246252,0.00936012937170863,306.32984293193715
4107652,2002,1,0,0.15220207253886012,0,70847,0.6326023754355213,3998.094330035146,NA,1.9950157693174135,0.2196897946944525,373.81052631578945
4107652,2006,1,0,0.16800432861394174,0,90875,2.1508431505537837,5449.229480055021,3.5,2.0487645414374605,0.22621155596705905,338.59541984732823
4107652,2010,1,0,0.1518070915517045,0,81675,1.6015864948808254,8647.556596265687,3.6,1.551989510888154,0.2287472814694168,343.96078431372547
4107652,2014,1,0,0.18376094732946835,0,90648,41.74743180593521,17503.373885800018,3.7,1.3976810164055755,0.19008301421590848,339.5602094240838
4107652,2018,1,0,0.1851555695172276,0,98368,0.920995768437428,25607.098436483408,4.5,1.4045949766538632,0.17609054146269018,324.22685185185185
4107652,2022,1,0,0.21687208328347493,0,103750,3.307054424805368,2671.2447036144576,4.9,1.2414742132344143,1.8130236640948192,369.7787610619469
