,id_municipio,razao_dependencia,taxa_envelhecimento,expectativa_anos_estudo,taxa_analfabetismo_18_mais,indice_gini,prop_pobreza_extrema,renda_pc,taxa_desocupacao_18_mais,taxa_ocupados_carteira,taxa_agua_encanada,populacao,populacao_urbana,populacao_rural,idhm
2683,3302304,48.76,10.12,9.24,14.67,0.46,3.52,453.97,10.66,30.47,94.61,7487,5637,1850,0.668
2684,3304508,47.83,8.76,8.86,9.26,0.46,2.32,499.13,5.51,51.35,91.9,8561,5959,2602,0.68
2685,3501301,44.95,9.22,10.58,7.47,0.46,1.57,672.03,6.56,52.77,99.34,23513,21183,2330,0.758
2686,3502507,40.61,8.23,10.5,3.6,0.46,0.49,775.17,4.79,44.83,99.53,35007,34498,509,0.755
2687,3502754,47.98,5.06,9.99,7.18,0.46,0.57,691.69,7.26,53.89,89.94,17080,17080,0,0.704
2688,3503802,42.08,6.65,9.93,5.83,0.46,0.43,823.24,6.5,61.39,96.64,44177,39998,4179,0.749
2689,3506904,51.77,9.9,9.6,8.58,0.46,2.45,622.11,4.8,54.67,95.39,9618,6132,3486,0.705
2690,3508207,42.96,10.39,10.03,6.08,0.46,0.44,817.16,4.14,51.94,98.18,4053,3306,747,0.735
2691,3508801,45.53,10.74,9.83,7.5,0.46,1.14,680.71,6.07,58.5,95.5,16607,14426,2181,0.742
2692,3510401,43.16,7.39,9.08,5.29,0.46,0.44,820.46,5.32,65.7,95.85,48576,45904,2672,0.75
2693,3510609,41.19,4.9,10.22,4.59,0.46,1.77,712.78,8.63,67.6,98.35,369584,369584,0,0.749
2694,3511003,45.3,8.8,11.28,9.24,0.46,5.66,579.36,7.3,52.37,91.19,18003,13586,4417,0.731
2695,3511102,40.69,10.73,10.71,4.88,0.46,0.62,945.05,4.75,59.11,98.88,112820,111914,906,0.785
2696,3512001,42.65,9.15,10.29,6.54,0.46,0.91,706.69,7.63,63.42,99.4,17371,16223,1148,0.757
2697,3514106,46.78,9.62,10.45,8.7,0.46,0.63,727.28,3.6,65.68,98.37,24761,23446,1315,0.725
2698,3516101,44.78,10.07,7.92,9.88,0.46,5.44,544.03,11.26,50.38,96.82,2829,2512,317,0.713
2699,3516200,42.34,7.6,11.19,3.62,0.46,0.65,846.57,4.71,57.14,99.79,318640,313046,5594,0.78
2700,3520426,50.65,10.23,10.15,5.29,0.46,2.1,608.83,8.96,27.17,97.72,9025,9025,0,0.725
2701,3521101,46.84,7.6,10.83,6.13,0.46,0.66,785.15,3.47,65.31,99.1,6016,5178,838,0.753
2702,3524808,40.6,11.01,10.87,5.9,0.46,0.93,850.11,5.68,44.39,99.77,47012,44239,2773,0.776
2703,3527405,46.47,10.19,10.96,6.98,0.46,0.36,743.2,5.03,54.71,99.28,19882,17219,2663,0.752
2704,3529708,43.7,7.11,10.29,10.41,0.46,1.69,670.82,9.64,51.56,97.09,20451,19265,1186,0.741
2705,3531506,42.02,9.86,10.53,8.48,0.46,0.07,765.11,6.25,58.58,99.65,18931,17713,1218,0.753
2706,3534609,43.63,12.06,10.8,6.8,0.46,0.76,797.55,5.02,53.87,99.24,30917,27782,3135,0.762
2707,3536109,50.49,8.47,10.11,8.3,0.46,0.35,696.71,5.86,59.64,91.02,5582,4389,1193,0.727
2708,3541208,43.73,12.76,11.22,7.99,0.46,2.14,695.29,5.69,48.36,97.86,13570,10500,3070,0.757
2709,3541901,43.93,7.07,10.29,6.86,0.46,5.69,500.25,9.74,66.98,84.52,11309,9275,2034,0.722
2710,3542404,43.1,9.67,11.26,7.74,0.46,0.5,774.14,5.91,50.77,99.65,18494,17049,1445,0.768
